QTDE;COD_DISCIPLINA;NOME_DISCIPLINA;FAIXA_NOTA
66702;CN;Ciências da Natureza;625.0
275239;CN;Ciências da Natureza;400.0
240644;CN;Ciências da Natureza;525.0
264948;CN;Ciências da Natureza;475.0
113506;CN;Ciências da Natureza;350.0
295440;CN;Ciências da Natureza;425.0
283618;CN;Ciências da Natureza;450.0
210579;CN;Ciências da Natureza;375.0
250427;CN;Ciências da Natureza;500.0
113069;CN;Ciências da Natureza;600.0
217293;CN;Ciências da Natureza;550.0
35126;CN;Ciências da Natureza;650.0
170254;CN;Ciências da Natureza;575.0
24953;CN;Ciências da Natureza;325.0
18716;CN;Ciências da Natureza;675.0
9726;CN;Ciências da Natureza;700.0
4337;CN;Ciências da Natureza;725.0
705;CN;Ciências da Natureza;0.0
1545;CN;Ciências da Natureza;750.0
429;CN;Ciências da Natureza;775.0
18;CN;Ciências da Natureza;825.0
111;CN;Ciências da Natureza;800.0
50;CN;Ciências da Natureza;300.0
5;CN;Ciências da Natureza;850.0
92564;CH;Ciências Humanas;650.0
224787;CH;Ciências Humanas;475.0
250828;CH;Ciências Humanas;500.0
207946;CH;Ciências Humanas;575.0
243513;CH;Ciências Humanas;550.0
214761;CH;Ciências Humanas;425.0
211770;CH;Ciências Humanas;400.0
180835;CH;Ciências Humanas;600.0
138695;CH;Ciências Humanas;350.0
191942;CH;Ciências Humanas;375.0
215816;CH;Ciências Humanas;450.0
141794;CH;Ciências Humanas;625.0
266470;CH;Ciências Humanas;525.0
56566;CH;Ciências Humanas;675.0
52412;CH;Ciências Humanas;325.0
32100;CH;Ciências Humanas;700.0
16236;CH;Ciências Humanas;725.0
5067;CH;Ciências Humanas;0.0
6661;CH;Ciências Humanas;750.0
2377;CH;Ciências Humanas;775.0
727;CH;Ciências Humanas;800.0
221;CH;Ciências Humanas;825.0
32;CH;Ciências Humanas;300.0
20;CH;Ciências Humanas;850.0
118602;LC;Linguagens e Códigos;625.0
154885;LC;Linguagens e Códigos;425.0
303121;LC;Linguagens e Códigos;575.0
352107;LC;Linguagens e Códigos;500.0
77926;LC;Linguagens e Códigos;375.0
108320;LC;Linguagens e Códigos;400.0
363815;LC;Linguagens e Códigos;550.0
293764;LC;Linguagens e Códigos;475.0
211240;LC;Linguagens e Códigos;600.0
380091;LC;Linguagens e Códigos;525.0
219019;LC;Linguagens e Códigos;450.0
52600;LC;Linguagens e Códigos;650.0
53030;LC;Linguagens e Códigos;350.0
30880;LC;Linguagens e Códigos;325.0
17403;LC;Linguagens e Códigos;675.0
10003;LC;Linguagens e Códigos;300.0
4120;LC;Linguagens e Códigos;700.0
686;LC;Linguagens e Códigos;725.0
95;LC;Linguagens e Códigos;750.0
75;LC;Linguagens e Códigos;275.0
8;LC;Linguagens e Códigos;775.0
1;LC;Linguagens e Códigos;800.0
57627;MT;Matemática;700.0
132510;MT;Matemática;350.0
189916;MT;Matemática;475.0
42918;MT;Matemática;725.0
198957;MT;Matemática;375.0
161582;MT;Matemática;575.0
87650;MT;Matemática;325.0
168799;MT;Matemática;525.0
221467;MT;Matemática;425.0
222043;MT;Matemática;400.0
165323;MT;Matemática;550.0
207523;MT;Matemática;450.0
78078;MT;Matemática;675.0
176711;MT;Matemática;500.0
104214;MT;Matemática;650.0
23240;MT;Matemática;775.0
130862;MT;Matemática;625.0
151312;MT;Matemática;600.0
7163;MT;Matemática;850.0
11208;MT;Matemática;825.0
16247;MT;Matemática;800.0
32073;MT;Matemática;750.0
4386;MT;Matemática;875.0
2551;MT;Matemática;900.0
1405;MT;Matemática;925.0
538;MT;Matemática;950.0
913;MT;Matemática;0.0
224;MT;Matemática;975.0
143865;RD;Redação;575.0
57250;RD;Redação;375.0
112968;RD;Redação;625.0
83835;RD;Redação;675.0
225332;RD;Redação;500.0
104230;RD;Redação;400.0
48778;RD;Redação;725.0
76981;RD;Redação;325.0
130796;RD;Redação;525.0
170075;RD;Redação;550.0
75573;RD;Redação;650.0
11117;RD;Redação;225.0
98308;RD;Redação;900.0
44082;RD;Redação;775.0
53812;RD;Redação;825.0
79226;RD;Redação;0.0
31049;RD;Redação;950.0
265275;RD;Redação;600.0
96100;RD;Redação;475.0
99401;RD;Redação;800.0
67359;RD;Redação;425.0
126487;RD;Redação;700.0
107078;RD;Redação;300.0
12255;RD;Redação;975.0
6596;RD;Redação;200.0
60208;RD;Redação;750.0
112150;RD;Redação;350.0
64159;RD;Redação;450.0
54156;RD;Redação;875.0
41731;RD;Redação;925.0
42467;RD;Redação;850.0
221;RD;Redação;100.0
33198;RD;Redação;275.0
16077;RD;Redação;250.0
53;RD;Redação;50.0
897;RD;Redação;175.0
90;RD;Redação;75.0
209;RD;Redação;125.0
612;RD;Redação;150.0
56;RD;Redação;25.0
28;RD;Redação;1000.0
