UF_PROVA;COD_DISCIPLINA;DISCIPLINA;MEDIA
SP;CN;Ciências da Natureza;512.45
PA;CN;Ciências da Natureza;467.7
RO;CN;Ciências da Natureza;476.43
SC;CN;Ciências da Natureza;509.76
MG;CN;Ciências da Natureza;507.88
RJ;CN;Ciências da Natureza;501.3
MT;CN;Ciências da Natureza;482.63
PR;CN;Ciências da Natureza;507.89
BA;CN;Ciências da Natureza;476.52
RN;CN;Ciências da Natureza;486.6
MA;CN;Ciências da Natureza;462.48
RS;CN;Ciências da Natureza;497.08
CE;CN;Ciências da Natureza;481.0
AL;CN;Ciências da Natureza;471.75
PB;CN;Ciências da Natureza;477.81
AP;CN;Ciências da Natureza;462.16
DF;CN;Ciências da Natureza;503.35
PI;CN;Ciências da Natureza;471.03
PE;CN;Ciências da Natureza;481.81
AM;CN;Ciências da Natureza;467.13
MS;CN;Ciências da Natureza;487.86
GO;CN;Ciências da Natureza;491.07
AC;CN;Ciências da Natureza;464.56
ES;CN;Ciências da Natureza;505.04
SE;CN;Ciências da Natureza;481.34
TO;CN;Ciências da Natureza;469.28
RR;CN;Ciências da Natureza;478.27
SP;CH;Ciências Humanas;538.23
PA;CH;Ciências Humanas;482.9
RO;CH;Ciências Humanas;489.57
SC;CH;Ciências Humanas;535.05
MG;CH;Ciências Humanas;532.45
RJ;CH;Ciências Humanas;526.32
MT;CH;Ciências Humanas;501.06
PR;CH;Ciências Humanas;533.17
BA;CH;Ciências Humanas;493.03
RN;CH;Ciências Humanas;504.44
MA;CH;Ciências Humanas;478.21
RS;CH;Ciências Humanas;526.62
CE;CH;Ciências Humanas;499.56
AL;CH;Ciências Humanas;486.79
PB;CH;Ciências Humanas;495.24
AP;CH;Ciências Humanas;478.91
DF;CH;Ciências Humanas;526.78
PI;CH;Ciências Humanas;487.35
PE;CH;Ciências Humanas;497.44
AM;CH;Ciências Humanas;489.58
MS;CH;Ciências Humanas;505.91
ES;CH;Ciências Humanas;524.55
GO;CH;Ciências Humanas;509.41
AC;CH;Ciências Humanas;479.88
SE;CH;Ciências Humanas;495.77
TO;CH;Ciências Humanas;484.09
RR;CH;Ciências Humanas;494.43
SP;LC;Linguagens e Códigos;549.28
PA;LC;Linguagens e Códigos;496.99
RO;LC;Linguagens e Códigos;504.36
SC;LC;Linguagens e Códigos;540.33
MG;LC;Linguagens e Códigos;540.08
RJ;LC;Linguagens e Códigos;539.94
MT;LC;Linguagens e Códigos;514.18
PR;LC;Linguagens e Códigos;539.46
BA;LC;Linguagens e Códigos;509.72
RN;LC;Linguagens e Códigos;518.86
MA;LC;Linguagens e Códigos;495.07
RS;LC;Linguagens e Códigos;538.8
CE;LC;Linguagens e Códigos;513.07
AL;LC;Linguagens e Códigos;504.14
PB;LC;Linguagens e Códigos;509.22
AP;LC;Linguagens e Códigos;492.68
DF;LC;Linguagens e Códigos;538.9
PI;LC;Linguagens e Códigos;501.06
PE;LC;Linguagens e Códigos;516.01
AM;LC;Linguagens e Códigos;490.9
MS;LC;Linguagens e Códigos;521.25
ES;LC;Linguagens e Códigos;531.98
GO;LC;Linguagens e Códigos;523.52
AC;LC;Linguagens e Códigos;500.41
SE;LC;Linguagens e Códigos;508.3
TO;LC;Linguagens e Códigos;500.89
RR;LC;Linguagens e Códigos;508.45
SP;MT;Matemática;558.15
PA;MT;Matemática;478.05
RO;MT;Matemática;491.94
SC;MT;Matemática;551.96
MG;MT;Matemática;550.4
RJ;MT;Matemática;537.41
MT;MT;Matemática;505.42
PR;MT;Matemática;546.74
BA;MT;Matemática;493.83
RN;MT;Matemática;515.11
MA;MT;Matemática;475.35
RS;MT;Matemática;536.63
CE;MT;Matemática;513.54
AL;MT;Matemática;492.62
PB;MT;Matemática;501.73
AP;MT;Matemática;467.33
DF;MT;Matemática;534.27
PI;MT;Matemática;492.02
PE;MT;Matemática;510.43
AM;MT;Matemática;481.99
MS;MT;Matemática;512.7
GO;MT;Matemática;517.61
AC;MT;Matemática;472.98
ES;MT;Matemática;540.39
SE;MT;Matemática;497.99
TO;MT;Matemática;488.84
RR;MT;Matemática;491.74
SP;RD;Redação;593.68
PA;RD;Redação;545.78
RO;RD;Redação;527.75
SC;RD;Redação;583.29
MG;RD;Redação;606.56
RJ;RD;Redação;596.08
MT;RD;Redação;545.77
PR;RD;Redação;574.47
BA;RD;Redação;557.65
RN;RD;Redação;576.77
MA;RD;Redação;538.74
RS;RD;Redação;578.78
CE;RD;Redação;571.48
AL;RD;Redação;559.41
PB;RD;Redação;570.66
AP;RD;Redação;523.94
DF;RD;Redação;578.74
PI;RD;Redação;564.13
PE;RD;Redação;562.88
AM;RD;Redação;523.1
MS;RD;Redação;548.02
ES;RD;Redação;586.29
GO;RD;Redação;578.65
AC;RD;Redação;528.83
SE;RD;Redação;581.97
TO;RD;Redação;538.6
RR;RD;Redação;522.89
